,date,range_high,range_high_time,range_low_time,range_low,range_open,range_close,range_true,orb_high,orb_low,orb_open,orb_close,orb_true,range_conf_direction,range_conf_time,orb_conf_direction,orb_conf_time,box_color,orb_range_direction,max_ret,max_ret_pct,max_ret_time,max_ext,max_ext_pct,max_ext_time,orb_open_touch_time
4378,2024-12-23,21675.5,09:35:00,10:10:00,21476.75,21619.25,21541.25,True,21675.5,21606.5,21619.25,21616.75,True,Long,11:50:00,Short,09:45:00,Red,Long,21652.75,0.6702898550724637,09:55:00,21476.75,1.8804347826086956,10:10:00,09:55:00
4379,2024-12-24,21941.25,10:05:00,09:30:00,21799.25,21826.25,21924.25,True,21874.75,21799.25,21826.25,21868.0,True,Long,10:40:00,Long,09:50:00,Green,Short,21871.25,0.046357615894039736,09:55:00,21941.25,0.8807947019867549,10:05:00,
4380,2024-12-26,22008.0,09:35:00,09:50:00,21870.25,21961.5,21991.0,True,22008.0,21956.0,21961.5,21983.5,True,Long,11:10:00,Short,09:45:00,Green,Short,21992.75,0.7067307692307693,10:25:00,21870.25,1.6490384615384615,09:50:00,09:55:00
4381,2024-12-27,21863.0,09:30:00,10:15:00,21512.75,21846.0,21560.75,True,21863.0,21681.75,21846.0,21682.25,True,,,Short,10:00:00,Red,Long,21631.25,-0.2786206896551724,10:05:00,21512.75,0.9324137931034483,10:15:00,
4382,2024-12-30,21416.0,09:30:00,10:00:00,21253.0,21409.0,21279.75,True,21416.0,21309.5,21409.0,21333.5,True,Long,11:35:00,Short,09:55:00,Red,Long,21355.0,0.4272300469483568,10:10:00,21253.0,0.5305164319248826,10:00:00,
4383,2024-12-31,21488.5,09:30:00,10:10:00,21333.5,21456.0,21416.0,True,21488.5,21368.0,21456.0,21398.5,True,Short,11:00:00,Short,10:05:00,Red,Long,21468.5,0.8340248962655602,10:25:00,21333.5,0.2863070539419087,10:10:00,10:25:00
4384,2025-01-02,21444.0,10:05:00,09:40:00,21166.5,21347.75,21288.0,True,21373.0,21166.5,21347.75,21213.75,True,Short,12:25:00,Long,09:50:00,Red,Long,21255.0,0.5714285714285714,10:20:00,21444.0,0.34382566585956414,10:05:00,10:20:00
4385,2025-01-03,21440.75,10:05:00,10:20:00,21261.5,21293.75,21334.0,True,21431.75,21277.75,21293.75,21424.75,True,Long,11:30:00,Long,11:30:00,Green,Short,,,,,,,
4386,2025-01-06,21886.75,10:25:00,09:30:00,21723.5,21732.75,21877.5,False,21826.75,21723.5,21732.75,21791.75,True,Long,11:25:00,Long,09:45:00,Green,Short,21780.25,0.45036319612590797,10:10:00,21886.75,0.5811138014527845,10:25:00,
4387,2025-01-07,21806.0,09:30:00,10:15:00,21525.25,21791.0,21577.25,True,21806.0,21695.25,21791.0,21764.75,True,Short,10:30:00,Short,10:00:00,Red,Long,21636.5,-0.5304740406320542,10:25:00,21525.25,1.5349887133182845,10:15:00,
